num,tar,contr,pos,vel,noise,pid_pos,pid_vel,pid_out,pid_in,noise
1,0.000,-0.600,9.880,-3.024,0.000,9.880,-3.116,-5.000,-2.910,0.090
2,0.008,-1.080,9.759,-3.067,0.000,9.755,-3.174,-4.936,-1.438,-0.170
3,0.016,-1.464,9.636,-3.126,0.000,9.628,-3.215,-4.870,-1.025,0.160
4,0.024,-1.771,9.511,-3.197,0.000,9.500,-3.239,-4.802,-0.612,0.500
5,0.031,-2.017,9.383,-3.277,0.000,9.370,-3.289,-4.734,-1.239,-0.190
6,0.039,-2.214,9.252,-3.366,0.000,9.239,-3.317,-4.665,-0.706,0.260
7,0.047,-2.371,9.118,-3.461,0.000,9.106,-3.364,-4.596,-1.179,-0.280
8,0.055,-2.497,8.979,-3.561,0.000,8.971,-3.400,-4.525,-0.897,-0.080
9,0.063,-2.597,8.837,-3.664,0.000,8.835,-3.435,-4.454,-0.863,-0.120
10,0.071,-2.678,8.690,-3.772,0.000,8.698,-3.467,-4.382,-0.810,-0.140
11,0.079,-2.742,8.539,-3.881,0.000,8.559,-3.473,-4.310,-0.147,0.450
12,0.086,-2.794,8.384,-3.993,0.000,8.420,-3.493,-4.236,-0.493,0.050
13,0.094,-2.835,8.224,-4.106,0.000,8.281,-3.524,-4.163,-0.788,-0.310
14,0.102,-2.868,8.060,-4.221,0.000,8.140,-3.531,-4.089,-0.174,0.230
15,0.110,-2.894,7.891,-4.337,0.000,7.998,-3.550,-4.015,-0.459,-0.110
16,0.118,-2.916,7.718,-4.454,0.000,7.856,-3.577,-3.940,-0.693,-0.410
17,0.126,-2.932,7.540,-4.571,0.000,7.713,-3.604,-3.865,-0.661,-0.450
18,0.133,-2.946,7.357,-4.689,0.000,7.569,-3.606,-3.790,-0.060,0.080
19,0.141,-2.957,7.169,-4.807,0.000,7.425,-3.600,-3.714,0.143,0.230
20,0.149,-2.965,6.977,-4.926,0.000,7.281,-3.596,-3.638,0.102,0.140
21,0.157,-2.972,6.780,-5.044,0.000,7.137,-3.612,-3.562,-0.397,-0.410
22,0.165,-2.978,6.578,-5.164,0.000,6.993,-3.591,-3.486,0.538,0.460
23,0.173,-2.982,6.372,-5.283,0.000,6.849,-3.567,-3.410,0.595,0.480
24,0.181,-2.986,6.160,-5.402,0.000,6.706,-3.562,-3.334,0.121,-0.030
25,0.188,-2.989,5.944,-5.522,0.000,6.564,-3.571,-3.259,-0.219,-0.420
26,0.196,-2.991,5.723,-5.641,0.000,6.421,-3.573,-3.184,-0.059,-0.320
27,0.204,-2.066,5.498,-5.724,0.000,6.278,-3.549,-3.108,0.606,0.290
28,0.212,-1.053,5.269,-5.766,0.000,6.136,-3.521,-3.033,0.690,0.340
29,0.220,-0.242,5.038,-5.776,0.000,5.995,-3.493,-2.958,0.704,0.320
30,0.228,0.406,4.807,-5.760,0.000,5.856,-3.495,-2.884,-0.033,-0.450
31,0.236,0.925,4.577,-5.723,0.000,5.716,-3.474,-2.810,0.501,0.030
32,0.243,1.340,4.348,-5.669,0.000,5.577,-3.445,-2.736,0.748,0.240
33,0.251,1.672,4.121,-5.602,0.000,5.439,-3.431,-2.663,0.329,-0.210
